year,county,class,lbs
2015,01,chlorpyrifos,4.5261624
2015,01,pyrethroid,5288.251701405001
2015,02,pyrethroid,12.642939259999999
2015,03,chlorpyrifos,65.7626574
2015,03,pyrethroid,254.56545271
2015,04,chlorpyrifos,23834.883157840002
2015,04,pyrethroid,28214.619151909996
2015,05,chlorpyrifos,64.963043
2015,05,pyrethroid,1374.5908333900002
2015,06,chlorpyrifos,28601.32581096
2015,06,pyrethroid,9970.743508029998
2015,07,chlorpyrifos,1156.201579
2015,07,oxamyl,21.18144
2015,07,pyrethroid,7352.656403645
2015,08,pyrethroid,119.749460825
2015,09,chlorpyrifos,3.0019332
2015,09,pyrethroid,3119.60805085
2015,10,chlorpyrifos,175002.05427156
2015,10,oxamyl,2600.044314
2015,10,pyrethroid,87389.37832835501
2015,11,chlorpyrifos,20192.49964486
2015,11,pyrethroid,11701.18058986
2015,12,chlorpyrifos,7.0460148
2015,12,pyrethroid,941.606099985
2015,13,chlorpyrifos,71487.96194889999
2015,13,oxamyl,685.6453260000001
2015,13,pyrethroid,39005.30919588
2015,14,chlorpyrifos,364.0536975
2015,14,pyrethroid,173.97383498
2015,15,chlorpyrifos,287708.815804
2015,15,oxamyl,1491.574056
2015,15,pyrethroid,69379.61403813501
2015,16,chlorpyrifos,86542.42360212
2015,16,oxamyl,2706.5644200000006
2015,16,pyrethroid,23620.21217113
2015,17,chlorpyrifos,8.333058000000001
2015,17,pyrethroid,1297.37043305
2015,18,pyrethroid,5156.986262605999
2015,19,chlorpyrifos,513.0487018599999
2015,19,oxamyl,181.69730400000003
2015,19,pyrethroid,86373.757072759
2015,20,chlorpyrifos,31484.15363896
2015,20,pyrethroid,39248.544873695006
2015,21,chlorpyrifos,2.814
2015,21,pyrethroid,600.54821584
2015,22,pyrethroid,149.23173670999998
2015,23,chlorpyrifos,1.3004
2015,23,pyrethroid,268.028852105
2015,24,chlorpyrifos,38073.98479806
2015,24,oxamyl,116.485392
2015,24,pyrethroid,21685.906686575
2015,25,chlorpyrifos,3184.5529514800005
2015,25,oxamyl,1305.0032340000002
2015,25,pyrethroid,190.11764599999995
2015,26,chlorpyrifos,743.6067702
2015,26,pyrethroid,28.8783729
2015,27,chlorpyrifos,4793.005621900001
2015,27,oxamyl,2274.488424
2015,27,pyrethroid,48743.899499715
2015,28,chlorpyrifos,91.64420220000001
2015,28,pyrethroid,444.30798686500003
2015,29,pyrethroid,541.4987116
2015,30,chlorpyrifos,387.7506757
2015,30,oxamyl,75.22766399999999
2015,30,pyrethroid,31143.294622775
2015,31,chlorpyrifos,1235.3547145
2015,31,pyrethroid,18754.570806524003
2015,32,pyrethroid,125.76222633
2015,33,chlorpyrifos,8554.90453716
2015,33,oxamyl,177.408648
2015,33,pyrethroid,62511.485211265004
2015,34,chlorpyrifos,2674.7649955000006
2015,34,oxamyl,112.24413600000001
2015,34,pyrethroid,62791.24367175
2015,35,chlorpyrifos,0.747681
2015,35,oxamyl,220.60540799999998
2015,35,pyrethroid,4098.91677163
2015,36,chlorpyrifos,1177.8810715
2015,36,pyrethroid,27162.751218899997
2015,37,chlorpyrifos,2159.7090306
2015,37,oxamyl,86.139456
2015,37,pyrethroid,41745.325359223
2015,38,chlorpyrifos,0.713415
2015,38,pyrethroid,8871.651945095
2015,39,chlorpyrifos,35245.89306786
2015,39,oxamyl,243.20077199999997
2015,39,pyrethroid,33754.70401613999
2015,40,chlorpyrifos,274.4576874999999
2015,40,pyrethroid,10444.69425837
2015,41,chlorpyrifos,56.2214214
2015,41,pyrethroid,14362.93095278
2015,42,chlorpyrifos,404.13098390000005
2015,42,oxamyl,282.895152
2015,42,pyrethroid,22361.538270790003
2015,43,chlorpyrifos,317.09497702
2015,43,oxamyl,484.28056799999996
2015,43,pyrethroid,32254.254946304998
2015,44,chlorpyrifos,1182.3639463000002
2015,44,oxamyl,14.237088
2015,44,pyrethroid,3571.32138098
2015,45,chlorpyrifos,846.5031037
2015,45,pyrethroid,1587.032882555
2015,46,pyrethroid,10.984586969999999
2015,47,chlorpyrifos,3211.0065629999995
2015,47,oxamyl,1158.947208
2015,47,pyrethroid,670.504321075
2015,48,chlorpyrifos,5301.36057004
2015,48,pyrethroid,7149.863608365
2015,49,chlorpyrifos,1103.1947146
2015,49,pyrethroid,1792.51140907
2015,50,chlorpyrifos,34180.90264648
2015,50,oxamyl,120.467784
2015,50,pyrethroid,41906.661034875
2015,51,chlorpyrifos,23878.9352315
2015,51,pyrethroid,10460.60407207
2015,52,chlorpyrifos,12561.048914580002
2015,52,pyrethroid,3959.55627451
2015,53,pyrethroid,19.29997005
2015,54,chlorpyrifos,144799.7643921
2015,54,oxamyl,31.93176
2015,54,pyrethroid,39479.59408122
2015,55,chlorpyrifos,3.29736
2015,55,pyrethroid,1309.2257150300002
2015,56,chlorpyrifos,32145.54555328
2015,56,oxamyl,2761.564896
2015,56,pyrethroid,13092.44639908
2015,57,chlorpyrifos,4430.97110704
2015,57,oxamyl,167.62944
2015,57,pyrethroid,9368.688411331
2015,58,chlorpyrifos,18027.2977392
2015,58,pyrethroid,5253.4633304
2016,01,chlorpyrifos,4.2278164
2016,01,pyrethroid,2475.10153781
2016,02,pyrethroid,18.37121575
2016,03,chlorpyrifos,124.9289582
2016,03,pyrethroid,323.9903112
2016,04,chlorpyrifos,19565.3930261
2016,04,pyrethroid,10406.75265834
2016,05,chlorpyrifos,125.285863
2016,05,pyrethroid,1609.9225336700001
2016,06,chlorpyrifos,8869.96183724
2016,06,pyrethroid,9573.21200113
2016,07,chlorpyrifos,905.3377245999999
2016,07,pyrethroid,4744.3558926900005
2016,08,pyrethroid,379.17207207
2016,09,pyrethroid,2077.007736058
2016,10,chlorpyrifos,142552.64229782
2016,10,oxamyl,58.059354
2016,10,pyrethroid,99647.21179714
2016,11,chlorpyrifos,12213.22814192
2016,11,pyrethroid,10336.688227715
2016,12,pyrethroid,3012.8993801889997
2016,13,chlorpyrifos,46414.5564746
2016,13,pyrethroid,31734.14658549
2016,14,chlorpyrifos,0.07364899999999999
2016,14,pyrethroid,129.58383595
2016,15,chlorpyrifos,203123.77862949998
2016,15,pyrethroid,79146.74779545999
2016,16,chlorpyrifos,85862.6432806
2016,16,oxamyl,1065.47721
2016,16,pyrethroid,24715.289590689998
2016,17,chlorpyrifos,255.11636789999997
2016,17,pyrethroid,2981.79584699
2016,18,chlorpyrifos,1143.9961554000001
2016,18,pyrethroid,350.23789331
2016,19,chlorpyrifos,546.23406178
2016,19,pyrethroid,150450.106509116
2016,20,chlorpyrifos,20350.295942
2016,20,oxamyl,139.384224
2016,20,pyrethroid,38383.16512479
2016,21,pyrethroid,1265.8429861099999
2016,22,pyrethroid,161.48440047
2016,23,pyrethroid,596.3971875199999
2016,24,chlorpyrifos,29048.978018759997
2016,24,oxamyl,0.268848
2016,24,pyrethroid,21239.578297655
2016,25,chlorpyrifos,1624.27794126
2016,25,oxamyl,220.276848
2016,25,pyrethroid,229.56044472
2016,26,pyrethroid,37.34452051000002
2016,27,chlorpyrifos,3225.7840481999997
2016,27,oxamyl,205.13870400000002
2016,27,pyrethroid,47958.646199229996
2016,28,chlorpyrifos,42.092066599999995
2016,28,pyrethroid,806.817098235
2016,29,pyrethroid,827.5232846200001
2016,30,chlorpyrifos,369.2374331
2016,30,pyrethroid,23549.669286204
2016,31,chlorpyrifos,1172.2413549199998
2016,31,pyrethroid,6783.7535563950005
2016,32,pyrethroid,244.11339250000003
2016,33,chlorpyrifos,5928.070005719999
2016,33,oxamyl,199.12032
2016,33,pyrethroid,55169.016658730005
2016,34,chlorpyrifos,988.8728821800001
2016,34,pyrethroid,23916.570415315
2016,35,chlorpyrifos,121.94276040000001
2016,35,oxamyl,42.5994
2016,35,pyrethroid,3144.4883648249997
2016,36,chlorpyrifos,253.8540762
2016,36,pyrethroid,33837.86199802
2016,37,chlorpyrifos,971.20372198
2016,37,pyrethroid,87279.287711092
2016,38,chlorpyrifos,0.0012125
2016,38,pyrethroid,3885.1297576349994
2016,39,chlorpyrifos,29892.2230233
2016,39,pyrethroid,29356.51910935
2016,40,chlorpyrifos,144.1074098
2016,40,pyrethroid,4419.565125231
2016,41,chlorpyrifos,16.1539054
2016,41,pyrethroid,5636.437034015
2016,42,chlorpyrifos,353.75736909999995
2016,42,oxamyl,84.685968
2016,42,pyrethroid,13848.340077599
2016,43,chlorpyrifos,263.46259213999997
2016,43,oxamyl,38.987784
2016,43,pyrethroid,21002.180275133
2016,44,chlorpyrifos,159.27627710000002
2016,44,pyrethroid,3494.1471033850003
2016,45,chlorpyrifos,396.9284973
2016,45,pyrethroid,1681.433090895
2016,46,pyrethroid,163.16696414999998
2016,47,chlorpyrifos,3424.62695862
2016,47,oxamyl,225.50926800000002
2016,47,pyrethroid,469.58300611000004
2016,48,chlorpyrifos,4435.62230148
2016,48,pyrethroid,9121.873355591
2016,49,chlorpyrifos,51.33517520000001
2016,49,pyrethroid,5302.12643686
2016,50,chlorpyrifos,16477.170024400002
2016,50,pyrethroid,29918.248233259998
2016,51,chlorpyrifos,26716.6899798
2016,51,pyrethroid,9774.508438541001
2016,52,chlorpyrifos,9270.871473300002
2016,52,pyrethroid,3938.675531725
2016,53,pyrethroid,7.35793415
2016,54,chlorpyrifos,181181.524535
2016,54,pyrethroid,51223.966973919996
2016,55,pyrethroid,871.30611297
2016,56,chlorpyrifos,26836.1105419
2016,56,oxamyl,186.92925599999998
2016,56,pyrethroid,9162.460862965
2016,57,chlorpyrifos,3868.1235608000006
2016,57,oxamyl,0.042984
2016,57,pyrethroid,11028.740891664
2016,58,chlorpyrifos,13001.9386273
2016,58,pyrethroid,5053.267797325
2017,01,chlorpyrifos,0.013049999999999999
2017,01,pyrethroid,3696.249338388
2017,02,pyrethroid,7.703679759999999
2017,03,chlorpyrifos,23.486649
2017,03,pyrethroid,330.75205705999997
2017,04,chlorpyrifos,13949.39507846
2017,04,pyrethroid,13762.141770694998
2017,05,chlorpyrifos,129.926086
2017,05,pyrethroid,828.82762742
2017,06,chlorpyrifos,7353.173012699999
2017,06,oxamyl,0.034848
2017,06,pyrethroid,10702.07756304
2017,07,chlorpyrifos,1083.0632923
2017,07,pyrethroid,5038.582790835
2017,08,pyrethroid,144.6001915
2017,09,chlorpyrifos,0.001274
2017,09,pyrethroid,1706.5130328999999
2017,10,chlorpyrifos,167684.42048441997
2017,10,oxamyl,1533.588822
2017,10,pyrethroid,94779.178351415
2017,11,chlorpyrifos,13589.136422
2017,11,pyrethroid,11839.44355687
2017,12,chlorpyrifos,7.0460148
2017,12,pyrethroid,220.520271301
2017,13,chlorpyrifos,48932.42451889999
2017,13,pyrethroid,32387.464606609996
2017,14,chlorpyrifos,0.114539
2017,14,pyrethroid,336.75398600000005
2017,15,chlorpyrifos,184563.2598582
2017,15,oxamyl,8159.866386
2017,15,pyrethroid,73740.100000045
2017,16,chlorpyrifos,126588.07707977999
2017,16,oxamyl,26977.207194000002
2017,16,pyrethroid,35305.902625865005
2017,17,chlorpyrifos,401.492382104
2017,17,pyrethroid,1219.88122119
2017,18,chlorpyrifos,2248.9701059999998
2017,18,pyrethroid,238.61393612999998
2017,19,chlorpyrifos,1093.22019947
2017,19,pyrethroid,23353.735768082
2017,20,chlorpyrifos,38935.1994783
2017,20,pyrethroid,37708.21525041
2017,21,pyrethroid,440.267459851
2017,22,pyrethroid,103.34152109
2017,23,pyrethroid,1353.107545285
2017,24,chlorpyrifos,32274.2845917
2017,24,oxamyl,125.73451200000001
2017,24,pyrethroid,26532.02170577
2017,25,chlorpyrifos,2432.43471668
2017,25,oxamyl,686.150052
2017,25,pyrethroid,402.67087896
2017,26,pyrethroid,23.14850001
2017,27,chlorpyrifos,455.65249439999997
2017,27,oxamyl,365.94331200000005
2017,27,pyrethroid,44809.99774954
2017,28,chlorpyrifos,2.2244
2017,28,pyrethroid,319.89019945999996
2017,29,pyrethroid,520.324525605
2017,30,chlorpyrifos,579.5224611699999
2017,30,pyrethroid,10746.678081022
2017,31,chlorpyrifos,13.1346797
2017,31,pyrethroid,4251.939451390001
2017,32,pyrethroid,77.85889098999999
2017,33,chlorpyrifos,10983.92199264
2017,33,pyrethroid,35347.316301841005
2017,34,chlorpyrifos,739.8565368
2017,34,pyrethroid,11660.085384145
2017,35,chlorpyrifos,10.785057
2017,35,pyrethroid,3582.4686214599997
2017,36,chlorpyrifos,204.62706419999998
2017,36,pyrethroid,9266.375339605001
2017,37,chlorpyrifos,1513.3787256
2017,37,pyrethroid,21392.835494445
2017,38,pyrethroid,752.00824199
2017,39,chlorpyrifos,27104.58201164
2017,39,oxamyl,336.343014
2017,39,pyrethroid,33749.221543110994
2017,40,chlorpyrifos,617.4303539
2017,40,pyrethroid,4251.5382641999995
2017,41,chlorpyrifos,0.9556
2017,41,pyrethroid,2167.59382845
2017,42,chlorpyrifos,983.6096794000001
