year,county_cd,chemical,lbs
2015,01,chlorpyrifos,4.5261624
2015,03,chlorpyrifos,65.7626574
2015,04,chlorpyrifos,23834.883157840002
2015,05,chlorpyrifos,64.963043
2015,06,chlorpyrifos,28601.32581096
2015,07,chlorpyrifos,1156.201579
2015,07,oxamyl,21.18144
2015,09,chlorpyrifos,3.0019332
2015,10,chlorpyrifos,175002.05427156
2015,10,oxamyl,2600.044314
2015,11,chlorpyrifos,20192.49964486
2015,12,chlorpyrifos,7.0460148
2015,13,chlorpyrifos,71487.96194889999
2015,13,oxamyl,685.6453260000001
2015,14,chlorpyrifos,364.0536975
2015,15,chlorpyrifos,287708.815804
2015,15,oxamyl,1491.574056
2015,16,chlorpyrifos,86542.42360212
2015,16,oxamyl,2706.5644200000006
2015,17,chlorpyrifos,8.333058000000001
2015,19,chlorpyrifos,513.0487018599999
2015,19,oxamyl,181.69730400000003
2015,20,chlorpyrifos,31484.15363896
2015,21,chlorpyrifos,2.814
2015,23,chlorpyrifos,1.3004
2015,24,chlorpyrifos,38073.98479806
2015,24,oxamyl,116.485392
2015,25,chlorpyrifos,3184.5529514800005
2015,25,oxamyl,1305.0032340000002
2015,26,chlorpyrifos,743.6067702
2015,27,chlorpyrifos,4793.005621900001
2015,27,oxamyl,2274.488424
2015,28,chlorpyrifos,91.64420220000001
2015,30,chlorpyrifos,387.7506757
2015,30,oxamyl,75.22766399999999
2015,31,chlorpyrifos,1235.3547145
2015,33,chlorpyrifos,8554.90453716
2015,33,oxamyl,177.408648
2015,34,chlorpyrifos,2674.7649955000006
2015,34,oxamyl,112.24413600000001
2015,35,chlorpyrifos,0.747681
2015,35,oxamyl,220.60540799999998
2015,36,chlorpyrifos,1177.8810715
2015,37,chlorpyrifos,2159.7090306
2015,37,oxamyl,86.139456
2015,38,chlorpyrifos,0.713415
2015,39,chlorpyrifos,35245.89306786
2015,39,oxamyl,243.20077199999997
2015,40,chlorpyrifos,274.4576874999999
2015,41,chlorpyrifos,56.2214214
2015,42,chlorpyrifos,404.13098390000005
2015,42,oxamyl,282.895152
2015,43,chlorpyrifos,317.09497702
2015,43,oxamyl,484.28056799999996
2015,44,chlorpyrifos,1182.3639463000002
2015,44,oxamyl,14.237088
2015,45,chlorpyrifos,846.5031037
2015,47,chlorpyrifos,3211.0065629999995
2015,47,oxamyl,1158.947208
2015,48,chlorpyrifos,5301.36057004
2015,49,chlorpyrifos,1103.1947146
2015,50,chlorpyrifos,34180.90264648
2015,50,oxamyl,120.467784
2015,51,chlorpyrifos,23878.9352315
2015,52,chlorpyrifos,12561.048914580002
2015,54,chlorpyrifos,144799.7643921
2015,54,oxamyl,31.93176
2015,55,chlorpyrifos,3.29736
2015,56,chlorpyrifos,32145.54555328
2015,56,oxamyl,2761.564896
2015,57,chlorpyrifos,4430.97110704
2015,57,oxamyl,167.62944
2015,58,chlorpyrifos,18027.2977392
2016,01,chlorpyrifos,4.2278164
2016,03,chlorpyrifos,124.9289582
2016,04,chlorpyrifos,19565.3930261
2016,05,chlorpyrifos,125.285863
2016,06,chlorpyrifos,8869.96183724
2016,07,chlorpyrifos,905.3377245999999
2016,10,chlorpyrifos,142552.64229782
2016,10,oxamyl,58.059354
2016,11,chlorpyrifos,12213.22814192
2016,13,chlorpyrifos,46414.5564746
2016,14,chlorpyrifos,0.07364899999999999
2016,15,chlorpyrifos,203123.77862949998
2016,16,chlorpyrifos,85862.6432806
2016,16,oxamyl,1065.47721
2016,17,chlorpyrifos,255.11636789999997
2016,18,chlorpyrifos,1143.9961554000001
2016,19,chlorpyrifos,546.23406178
2016,20,chlorpyrifos,20350.295942
2016,20,oxamyl,139.384224
2016,24,chlorpyrifos,29048.978018759997
2016,24,oxamyl,0.268848
2016,25,chlorpyrifos,1624.27794126
2016,25,oxamyl,220.276848
2016,27,chlorpyrifos,3225.7840481999997
2016,27,oxamyl,205.13870400000002
2016,28,chlorpyrifos,42.092066599999995
2016,30,chlorpyrifos,369.2374331
2016,31,chlorpyrifos,1172.2413549199998
2016,33,chlorpyrifos,5928.070005719999
2016,33,oxamyl,199.12032
2016,34,chlorpyrifos,988.8728821800001
2016,35,chlorpyrifos,121.94276040000001
2016,35,oxamyl,42.5994
2016,36,chlorpyrifos,253.8540762
2016,37,chlorpyrifos,971.20372198
2016,38,chlorpyrifos,0.0012125
2016,39,chlorpyrifos,29892.2230233
2016,40,chlorpyrifos,144.1074098
2016,41,chlorpyrifos,16.1539054
2016,42,chlorpyrifos,353.75736909999995
2016,42,oxamyl,84.685968
