year,class,acres_treated
2015,Carbamates,3303348.0500000003
2015,Diamides,14994992.839999998
2015,Next-gen systemics,177352.40999999995
2015,Organophosphates,41307034.11999999
2015,Other neonics,23181072.559999995
2015,Pyrethroids,193385012.05000007
2015,Restricted neonics,123356813.65000004
2015,Spinosyns,54820185.489999995
2016,Carbamates,5688907.689999999
2016,Diamides,56365432.33000001
2016,Next-gen systemics,2769642.15
2016,Organophosphates,34825386.15000001
2016,Other neonics,23946671.67
2016,Pyrethroids,178889204.24999985
2016,Restricted neonics,132627852.70000002
2016,Spinosyns,52072234.809999995
2017,Carbamates,5963041.580000001
2017,Diamides,73256580.63999999
2017,Next-gen systemics,4315575.559999999
2017,Organophosphates,26811081.910000008
2017,Other neonics,24468172.129999995
2017,Pyrethroids,170619245.46
2017,Restricted neonics,127872836.39999999
2017,Spinosyns,52034823.42999999
2018,Carbamates,3623236.2300000004
2018,Diamides,35816027.34
2018,Next-gen systemics,9161810.890000002
2018,Organophosphates,18285416.790000003
2018,Other neonics,30197019.86
2018,Pyrethroids,168427181.6700001
2018,Restricted neonics,129429810.42999998
2018,Spinosyns,62437548.94000001
2019,Carbamates,5063478.36
2019,Diamides,38162896.36
2019,Next-gen systemics,9219283.930000002
2019,Organophosphates,21375856.32999999
2019,Other neonics,36560199.309999995
2019,Pyrethroids,170054050.8399999
2019,Restricted neonics,109061639.67999998
2019,Spinosyns,59306394.53000001
2020,Carbamates,1450049.46
2020,Diamides,20257389.12000001
2020,Next-gen systemics,6682577.970000001
2020,Organophosphates,23138217.370000005
2020,Other neonics,38897037.279999994
2020,Pyrethroids,169545872.23
2020,Restricted neonics,100376817.17
2020,Spinosyns,57039983.129999995
2021,Carbamates,1363567.44
2021,Diamides,25945003.089999996
2021,Next-gen systemics,8863541.93
2021,Organophosphates,28903435.140000004
2021,Other neonics,35220750.98
2021,Pyrethroids,165989742.82999998
2021,Restricted neonics,98859194.65999995
2021,Spinosyns,67417853.15
2022,Carbamates,1930128.23
2022,Diamides,24357162.779999997
2022,Next-gen systemics,10097780.85
2022,Organophosphates,26343610.130000006
2022,Other neonics,30009485.580000002
2022,Pyrethroids,134820441.83000007
2022,Restricted neonics,112664189.13000003
2022,Spinosyns,61398579.31999999
2023,Carbamates,1511333.52
2023,Diamides,21672644.459999997
2023,Next-gen systemics,10525168.400000002
2023,Organophosphates,21118106.279999997
2023,Other neonics,37035823.05
2023,Pyrethroids,132208455.69000003
2023,Restricted neonics,112367441.66
2023,Spinosyns,62393905.63000001
