year,class,lbs_ai,acres_treated,n_records
2015,Carbamates,454573.7815172679,3303348.0500000003,27772
2015,Diamides,179401.94984612,14994992.839999998,62710
2015,Next-gen systemics,19061.579483499998,177352.40999999995,9103
2015,Organophosphates,2396709.416847929,41307034.11999999,59879
2015,Other neonics,53765.148058394,23181072.559999995,22866
2015,Pyrethroids,1033674.0181699223,193385012.05000007,361965
2015,Restricted neonics,817625.0107941732,123356813.65000004,158680
2015,Spinosyns,114896.99056515997,54820185.489999995,100943
2016,Carbamates,483608.793205026,5688907.689999999,24318
2016,Diamides,178880.00122930008,56365432.33000001,61510
2016,Next-gen systemics,52507.05824899,2769642.15,17593
2016,Organophosphates,2077299.81931014,34825386.15000001,53202
2016,Other neonics,51876.270931204,23946671.67,22102
2016,Pyrethroids,1030806.8029111706,178889204.24999985,354719
2016,Restricted neonics,669035.5180435303,132627852.70000002,159918
2016,Spinosyns,116972.898799667,52072234.809999995,100837
2017,Carbamates,378694.592697336,5963041.580000001,22133
2017,Diamides,166735.78330284808,73256580.63999999,61598
2017,Next-gen systemics,68861.11201444,4315575.559999999,25000
2017,Organophosphates,2089737.1392938246,26811081.910000008,51282
2017,Other neonics,60613.386044538005,24468172.129999995,23650
2017,Pyrethroids,755534.8058436287,170619245.46,356571
2017,Restricted neonics,681267.464897402,127872836.39999999,162999
2017,Spinosyns,121490.92234640504,52034823.42999999,98966
2018,Carbamates,430499.08247914823,3623236.2300000004,22804
2018,Diamides,235943.69899164003,35816027.34,71644
2018,Next-gen systemics,78695.11685831,9161810.890000002,33588
2018,Organophosphates,1705152.5804793444,18285416.790000003,46437
2018,Other neonics,63542.663587546,30197019.86,24973
2018,Pyrethroids,774606.4111319087,168427181.6700001,365688
2018,Restricted neonics,575716.806373319,129429810.42999998,167574
2018,Spinosyns,117449.59793222898,62437548.94000001,95819
2019,Carbamates,419359.0970412338,5063478.36,22300
2019,Diamides,241744.04600929504,38162896.36,77105
2019,Next-gen systemics,79036.49123514004,9219283.930000002,35982
2019,Organophosphates,1068314.2550616807,21375856.32999999,37902
2019,Other neonics,63220.52500076402,36560199.309999995,25384
2019,Pyrethroids,741592.2719106473,170054050.8399999,365800
2019,Restricted neonics,672960.3768190381,109061639.67999998,168338
2019,Spinosyns,112518.77730246002,59306394.53000001,93476
2020,Carbamates,431354.0305538201,1450049.46,28339
2020,Diamides,241638.05486567985,20257389.12000001,75996
2020,Next-gen systemics,71078.72740883999,6682577.970000001,38564
2020,Organophosphates,939816.2967453102,23138217.370000005,37996
2020,Other neonics,68376.53360058,38897037.279999994,26847
2020,Pyrethroids,762402.1620564521,169545872.23,357205
2020,Restricted neonics,532427.1095384838,100376817.17,165257
2020,Spinosyns,140302.06688256495,57039983.129999995,95224
2021,Carbamates,361074.74620615167,1363567.44,26937
2021,Diamides,255005.78579644006,25945003.089999996,75476
2021,Next-gen systemics,77501.61037588,8863541.93,41955
2021,Organophosphates,732853.7712015106,28903435.140000004,33072
2021,Other neonics,61067.28942456999,35220750.98,26247
2021,Pyrethroids,1024201.4466696705,165989742.82999998,344956
2021,Restricted neonics,445731.8383017629,98859194.65999995,159182
2021,Spinosyns,103897.47554809498,67417853.15,94696
2022,Carbamates,372596.330633102,1930128.23,31243
2022,Diamides,228633.34993927,24357162.779999997,72371
2022,Next-gen systemics,80148.67407432,10097780.85,41887
2022,Organophosphates,948394.7513111804,26343610.130000006,31899
2022,Other neonics,61829.70046202001,30009485.580000002,25347
2022,Pyrethroids,755760.0310970081,134820441.83000007,348552
2022,Restricted neonics,461696.80436656123,112664189.13000003,162867
2022,Spinosyns,96892.79332975502,61398579.31999999,87754
2023,Carbamates,367500.62831810216,1511333.52,24012
2023,Diamides,223046.82616506997,21672644.459999997,72292
2023,Next-gen systemics,77209.37460631,10525168.400000002,30148
2023,Organophosphates,806589.5031367203,21118106.279999997,29355
2023,Other neonics,57771.580402608,37035823.05,21635
2023,Pyrethroids,889313.4297970134,132208455.69000003,359709
2023,Restricted neonics,461623.62849994615,112367441.66,166260
2023,Spinosyns,88541.52022631498,62393905.63000001,78748
