year,chemname,lbs_active_ingredient,toxicity_units_avian_ld50
2015,carbaryl,155036.16278726803,77.51808139363402
2015,methomyl,282218.1548400001,11661.907224793385
2015,oxamyl,17319.46389,5480.843003164557
2016,carbaryl,220617.66026482603,110.30883013241298
2016,methomyl,260524.6527722001,10765.481519512397
2016,oxamyl,2466.480168,780.5316987341771
2017,carbaryl,106942.147429636,53.471073714818004
2017,methomyl,233450.3365217,9646.708120731404
2017,oxamyl,38302.10874599999,12120.920489240509
2018,carbaryl,127244.60764214801,63.622303821074
2018,methomyl,224535.21091099997,9278.314500454544
2018,oxamyl,78719.26392599997,24911.15947025315
2019,carbaryl,112413.108268234,56.206554134117006
2019,methomyl,203182.81938899998,8395.984272272726
2019,oxamyl,103763.16938399998,32836.446007594925
2020,carbaryl,109983.86642542001,54.991933212709995
2020,methomyl,258060.61571639997,10663.661806462811
2020,oxamyl,63309.548412000004,20034.667218987342
2021,methomyl,235729.32379499997,9740.88114855372
2021,carbaryl,99376.14045715201,49.688070228576
2021,oxamyl,25969.281954000005,8218.12720063291
2022,methomyl,251948.67820300008,10411.102405082649
2022,carbaryl,84057.56717210202,42.028783586051
2022,oxamyl,36590.085258,11579.140904430378
2023,methomyl,195333.32607699998,8071.625044504132
2023,carbaryl,84225.57033310203,42.11278516655101
2023,oxamyl,87941.731908,27829.66199620253
