year,class,lbs_active_ingredient
2015,Carbamates,454573.7815172679
2015,Diamides,179401.94984612
2015,Next-gen systemics,19061.579483499998
2015,Organophosphates,2396709.416847929
2015,Other neonics,53765.148058394
2015,Pyrethroids,1033674.0181699223
2015,Restricted neonics,817625.0107941732
2015,Spinosyns,114896.99056515997
2016,Carbamates,483608.793205026
2016,Diamides,178880.00122930008
2016,Next-gen systemics,52507.05824899
2016,Organophosphates,2077299.81931014
2016,Other neonics,51876.270931204
2016,Pyrethroids,1030806.8029111706
2016,Restricted neonics,669035.5180435303
2016,Spinosyns,116972.898799667
2017,Carbamates,378694.592697336
2017,Diamides,166735.78330284808
2017,Next-gen systemics,68861.11201444
2017,Organophosphates,2089737.1392938246
2017,Other neonics,60613.386044538005
2017,Pyrethroids,755534.8058436287
2017,Restricted neonics,681267.464897402
2017,Spinosyns,121490.92234640504
2018,Carbamates,430499.08247914823
2018,Diamides,235943.69899164003
2018,Next-gen systemics,78695.11685831
2018,Organophosphates,1705152.5804793444
2018,Other neonics,63542.663587546
2018,Pyrethroids,774606.4111319087
2018,Restricted neonics,575716.806373319
2018,Spinosyns,117449.59793222898
2019,Carbamates,419359.0970412338
2019,Diamides,241744.04600929504
2019,Next-gen systemics,79036.49123514004
2019,Organophosphates,1068314.2550616807
2019,Other neonics,63220.52500076402
2019,Pyrethroids,741592.2719106473
2019,Restricted neonics,672960.3768190381
2019,Spinosyns,112518.77730246002
2020,Carbamates,431354.0305538201
2020,Diamides,241638.05486567985
2020,Next-gen systemics,71078.72740883999
2020,Organophosphates,939816.2967453102
2020,Other neonics,68376.53360058
2020,Pyrethroids,762402.1620564521
2020,Restricted neonics,532427.1095384838
2020,Spinosyns,140302.06688256495
2021,Carbamates,361074.74620615167
2021,Diamides,255005.78579644006
2021,Next-gen systemics,77501.61037588
2021,Organophosphates,732853.7712015106
2021,Other neonics,61067.28942456999
2021,Pyrethroids,1024201.4466696705
2021,Restricted neonics,445731.8383017629
2021,Spinosyns,103897.47554809498
2022,Carbamates,372596.330633102
2022,Diamides,228633.34993927
2022,Next-gen systemics,80148.67407432
2022,Organophosphates,948394.7513111804
2022,Other neonics,61829.70046202001
2022,Pyrethroids,755760.0310970081
2022,Restricted neonics,461696.80436656123
2022,Spinosyns,96892.79332975502
2023,Carbamates,367500.62831810216
2023,Diamides,223046.82616506997
2023,Next-gen systemics,77209.37460631
2023,Organophosphates,806589.5031367203
2023,Other neonics,57771.580402608
2023,Pyrethroids,889313.4297970134
2023,Restricted neonics,461623.62849994615
2023,Spinosyns,88541.52022631498
