year,class,toxicity_units_aquatic_lc50
2015,Carbamates,57942.76712958066
2015,Diamides,10925.534609326376
2015,Next-gen systemics,0.22459829175413598
2015,Organophosphates,12604261.977150109
2015,Other neonics,1.079617872216615
2015,Pyrethroids,5329165.883216773
2015,Restricted neonics,13.556638451715825
2015,Spinosyns,375.96170283657557
2016,Carbamates,63821.114816666464
2016,Diamides,11205.678383048216
2016,Next-gen systemics,0.6764270149317998
2016,Organophosphates,10502515.174877845
2016,Other neonics,1.0416921873735745
2016,Pyrethroids,5332388.57390926
2016,Restricted neonics,7.875901046441393
2016,Spinosyns,393.7449745692467
2017,Carbamates,45153.43671080914
2017,Diamides,12985.045361008726
2017,Next-gen systemics,0.7543674645412167
2017,Organophosphates,10821091.974377794
2017,Other neonics,1.2171291164764022
2017,Pyrethroids,4181367.0198910106
2017,Restricted neonics,8.049695329769518
2017,Spinosyns,397.1077422472079
2018,Carbamates,46824.959572954955
2018,Diamides,18698.354513953105
2018,Next-gen systemics,0.8847043148134308
2018,Organophosphates,7522992.522677369
2018,Other neonics,1.2759499506733503
2018,Pyrethroids,4503757.380542089
2018,Restricted neonics,6.532439585664941
2018,Spinosyns,395.0461616465307
2019,Carbamates,42108.46676285544
2019,Diamides,18896.001446105227
2019,Next-gen systemics,0.8590302571031442
2019,Organophosphates,1558384.8492434395
2019,Other neonics,1.2694884538306028
2019,Pyrethroids,4215443.6002389975
2019,Restricted neonics,7.267709393906311
2019,Spinosyns,371.07515229815584
2020,Carbamates,48877.21586744688
2020,Diamides,18855.397002839625
2020,Next-gen systemics,0.8483386731299408
2020,Organophosphates,1294233.8057112228
2020,Other neonics,1.3730227630638554
2020,Pyrethroids,4168366.6317733796
2020,Restricted neonics,5.6513957233544785
2020,Spinosyns,395.02089269982866
2021,Carbamates,44401.7902192409
2021,Diamides,19939.100606640408
2021,Next-gen systemics,0.8269474844080911
2021,Organophosphates,1041854.8984360711
2021,Other neonics,1.226250791658032
2021,Pyrethroids,5615642.989806448
2021,Restricted neonics,4.667175402640746
2021,Spinosyns,345.9272868398038
2022,Carbamates,44518.530698860224
2022,Diamides,17607.772879752356
2022,Next-gen systemics,0.8989869666566158
2022,Organophosphates,1359263.5117717558
2022,Other neonics,1.2415602502413654
2022,Pyrethroids,4104284.3427651604
2022,Restricted neonics,4.82737129494986
2022,Spinosyns,321.88863828424695
2023,Carbamates,37252.60959297341
2023,Diamides,17317.106318810253
2023,Next-gen systemics,0.9501002697881411
2023,Organophosphates,1118144.0192244414
2023,Other neonics,1.1600718956346985
2023,Pyrethroids,4641959.2179782195
2023,Restricted neonics,4.58537633851043
2023,Spinosyns,299.45061957561313
