year,class,toxicity_units_avian_ld50
2015,Carbamates,17220.26830935158
2015,Diamides,83.09072631689
2015,Next-gen systemics,76.42351802499236
2015,Organophosphates,106806.17466189976
2015,Other neonics,548.6197385171491
2015,Pyrethroids,401.0247039100045
2015,Restricted neonics,15052.043363344943
2015,Spinosyns,53.16505008987112
2016,Carbamates,11656.322048378986
2016,Diamides,82.45253917433776
2016,Next-gen systemics,226.26616209793184
2016,Organophosphates,95849.12057489055
2016,Other neonics,529.3497033796325
2016,Pyrethroids,426.51253167336387
2016,Restricted neonics,18933.596843111143
2016,Spinosyns,53.945284080643496
2017,Carbamates,21821.099683686727
2017,Diamides,74.69358702434351
2017,Next-gen systemics,260.5367947044318
2017,Organophosphates,114679.28950052729
2017,Other neonics,618.4954967052164
2017,Pyrethroids,314.9231550094926
2017,Restricted neonics,19100.61201386212
2017,Spinosyns,56.22325082940694
2018,Carbamates,34253.09627452876
2018,Diamides,105.1436117647178
2018,Next-gen systemics,303.9093068227808
2018,Organophosphates,73315.64750195498
2018,Other neonics,648.3860838787674
2018,Pyrethroids,347.6394166569226
2018,Restricted neonics,15199.99433692456
2018,Spinosyns,54.17010577909228
2019,Carbamates,41288.63683400175
2019,Diamides,107.4854405099755
2019,Next-gen systemics,297.17880314612984
2019,Organophosphates,64230.31864515693
2019,Other neonics,645.1073979669798
2019,Pyrethroids,330.14050610768317
2019,Restricted neonics,17071.065183945706
2019,Spinosyns,52.01709925147333
2020,Carbamates,30753.320958662865
2020,Diamides,107.41427072408007
2020,Next-gen systemics,287.9304722394858
2020,Organophosphates,58254.243785874634
2020,Other neonics,697.7197306181632
2020,Pyrethroids,326.5039512435053
2020,Restricted neonics,12392.526272608102
2020,Spinosyns,65.97170901077473
2021,Carbamates,18008.696419415202
2021,Diamides,113.34736252825114
2021,Next-gen systemics,287.20740465451235
2021,Organophosphates,42753.80830621877
2021,Other neonics,623.1356063731632
2021,Pyrethroids,428.6060385120181
2021,Restricted neonics,10794.327796797474
2021,Spinosyns,47.97760960950307
2022,Carbamates,22032.272093099073
2022,Diamides,101.6248427624905
2022,Next-gen systemics,308.9613190272108
2022,Organophosphates,48137.05404118323
2022,Other neonics,630.9153108369388
2022,Pyrethroids,320.780836311119
2022,Restricted neonics,10463.61437125517
2022,Spinosyns,44.7547549946397
2023,Carbamates,35943.39982587323
2023,Diamides,99.13571081298056
2023,Next-gen systemics,320.5626360444295
2023,Organophosphates,45535.73386387188
2023,Other neonics,589.5059224755919
2023,Pyrethroids,373.8495169431077
2023,Restricted neonics,9524.072684570816
2023,Spinosyns,40.81024812037972
