year,class,toxicity_units_avian_ld50
2015,Carbamates,18857.458664415488
2015,Diamides,83.09072631689
2015,Next-gen systemics,18.02151996189951
2015,Organophosphates,92945.51807541649
2015,Other neonics,298.70164127284653
2015,Pyrethroids,380.38781208747696
2015,Restricted neonics,15018.509884770943
2015,Spinosyns,57.44849528258004
2016,Carbamates,15411.414983665944
2016,Diamides,82.45253917433776
2016,Next-gen systemics,47.22737264615553
2016,Organophosphates,84562.47231400202
2016,Other neonics,288.20150517335554
2016,Pyrethroids,398.4558852455504
2016,Restricted neonics,18887.149302048034
2016,Spinosyns,58.48644939983349
2017,Carbamates,21212.305745671467
2017,Diamides,74.69358702434351
2017,Next-gen systemics,67.4875973803693
2017,Organophosphates,98537.39398633687
2017,Other neonics,336.7537821443041
2017,Pyrethroids,298.4958745216652
2017,Restricted neonics,19050.41947330393
2017,Spinosyns,60.745461173202486
2018,Carbamates,31307.67490592527
2018,Diamides,105.1436117647178
2018,Next-gen systemics,76.18017573747971
2018,Organophosphates,72962.53457823851
2018,Other neonics,353.0275462721264
2018,Pyrethroids,330.2750813543516
2018,Restricted neonics,15133.458201797108
2018,Spinosyns,58.724798966114506
2019,Carbamates,36414.12008723633
2019,Diamides,107.4854405099755
2019,Next-gen systemics,77.74467602274987
2019,Organophosphates,60546.366225809594
2019,Other neonics,351.22513889313325
2019,Pyrethroids,313.04718388184284
2019,Restricted neonics,17014.888656219246
2019,Spinosyns,56.25938865123003
2020,Carbamates,28543.910372589635
2020,Diamides,107.41427072408007
2020,Next-gen systemics,66.74742392344649
2020,Organophosphates,45423.11623492058
2020,Other neonics,379.8696311143333
2020,Pyrethroids,310.5965048279086
2020,Restricted neonics,12338.194864107158
2020,Spinosyns,70.15103344128254
2021,Carbamates,18088.94958335986
2021,Diamides,113.34736252825114
2021,Next-gen systemics,76.87885233126283
2021,Organophosphates,31961.452167745025
2021,Other neonics,339.262719025389
2021,Pyrethroids,402.2976396042284
2021,Restricted neonics,10752.403818800149
2021,Spinosyns,51.94873777404751
2022,Carbamates,21146.410891507774
2022,Diamides,101.6248427624905
2022,Next-gen systemics,77.67335586344176
2022,Organophosphates,34505.673105744245
2022,Other neonics,343.49833590011116
2022,Pyrethroids,304.3538098292069
2022,Restricted neonics,10400.988103849746
2022,Spinosyns,48.4463966648775
2023,Carbamates,31628.34960520422
2023,Diamides,99.13571081298056
2023,Next-gen systemics,71.30895473590085
2023,Organophosphates,27317.580453727707
2023,Other neonics,320.95322445893333
2023,Pyrethroids,345.7666150389439
2023,Restricted neonics,9461.724361043363
2023,Spinosyns,44.270760113157486
