chemical_class,buffer_m,lag_window_days,lbs_ai,acres_treated,tox_units_avian,tox_units_aquatic,n_sections_intersected,n_applications,location_id,survey_start,survey_end,spatial_join
Organophosphates,500,30,0.0205,0.0218,0.000523,0.205184,1,1,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Pyrethroids,500,30,0.0163,0.443,8e-06,0.071566,2,8,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Spinosyns,500,30,0.0412,0.4512,1.8e-05,0.000181,2,9,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Organophosphates,1000,30,0.0783,0.0834,0.001998,0.783285,1,1,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Pyrethroids,1000,30,0.0657,1.7994,3.3e-05,0.284828,2,8,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Spinosyns,1000,30,0.1672,1.8307,7.4e-05,0.000733,2,9,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Organophosphates,2000,30,0.6422,2.6136,0.016383,6.422167,3,3,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Pyrethroids,2000,30,0.2364,6.4695,0.000118,0.99442,6,14,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Restricted neonics,2000,30,0.3265,0.5087,0.010507,4e-06,4,10,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Spinosyns,2000,30,0.7321,8.2469,0.000325,0.003211,10,58,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Diamides,5000,30,0.2572,3.324,0.000118,0.01702,11,38,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Organophosphates,5000,30,88.0615,43.9415,2.295142,873.634966,8,17,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Other neonics,5000,30,0.043,0.3442,0.000439,1e-06,1,2,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Pyrethroids,5000,30,1.1639,23.4731,0.000703,4.070679,21,45,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Restricted neonics,5000,30,3.4183,6.393,0.110075,4e-05,9,19,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Spinosyns,5000,30,4.6966,53.1142,0.002089,0.020508,26,132,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Diamides,500,60,0.0073,0.1216,3e-06,0.000452,2,2,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Organophosphates,500,60,0.0205,0.0218,0.000523,0.205184,1,1,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Pyrethroids,500,60,0.3827,2.3614,0.000332,0.814434,3,34,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Spinosyns,500,60,0.2291,2.5961,0.000102,0.001005,3,37,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Diamides,1000,60,0.0298,0.501,1.3e-05,0.00182,2,2,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Organophosphates,1000,60,0.0783,0.0834,0.001998,0.783285,1,1,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Pyrethroids,1000,60,1.5677,9.5704,0.001363,3.326426,3,34,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Spinosyns,1000,60,0.9287,10.5346,0.000413,0.004073,3,37,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Diamides,2000,60,0.187,2.4696,8.3e-05,0.011605,7,9,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Organophosphates,2000,60,1.4859,3.5116,0.037905,14.85863,6,7,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Pyrethroids,2000,60,5.8089,35.1442,0.005036,12.368011,11,107,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Restricted neonics,2000,60,0.4219,0.7013,0.013584,5e-06,4,23,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Spinosyns,2000,60,3.7358,42.4703,0.00166,0.016385,11,189,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Diamides,5000,60,12.2988,51.967,0.00547,0.903634,23,74,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Organophosphates,5000,60,97.1746,53.9013,2.536434,963.5018,16,27,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Other neonics,5000,60,0.0432,0.3453,0.000441,1e-06,2,3,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Pyrethroids,5000,60,21.1363,170.4361,0.0176,50.271981,35,284,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Restricted neonics,5000,60,7.8167,15.2822,0.25196,9.2e-05,14,76,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Spinosyns,5000,60,21.1625,241.7707,0.009407,0.092727,36,501,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Diamides,500,90,0.0699,0.9232,3.1e-05,0.005847,3,7,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Organophosphates,500,90,0.0252,0.0244,0.000644,0.25232,1,2,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Pyrethroids,500,90,0.4035,2.5818,0.000348,0.878502,3,37,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Spinosyns,500,90,0.2291,2.5961,0.000102,0.001005,3,37,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Diamides,1000,90,0.2896,3.8303,0.000129,0.024221,3,7,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Organophosphates,1000,90,0.0963,0.0931,0.002457,0.963229,1,2,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Pyrethroids,1000,90,1.6534,10.492,0.001429,3.592627,3,37,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Spinosyns,1000,90,0.9287,10.5346,0.000413,0.004073,3,37,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Diamides,2000,90,1.0902,14.0357,0.000485,0.089463,10,21,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Organophosphates,2000,90,2.1159,3.8473,0.053977,21.158906,7,9,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Pyrethroids,2000,90,6.0956,38.3196,0.005254,13.285834,11,112,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Restricted neonics,2000,90,0.4219,0.7013,0.013584,5e-06,4,23,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Spinosyns,2000,90,3.7358,42.4703,0.00166,0.016385,11,189,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Diamides,5000,90,14.6229,79.4211,0.006503,1.103987,27,103,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Organophosphates,5000,90,102.0604,56.502,2.66107,1012.359306,17,30,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Other neonics,5000,90,0.0432,0.3453,0.000441,1e-06,2,3,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Pyrethroids,5000,90,22.0158,184.9981,0.018118,54.862314,35,295,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Restricted neonics,5000,90,7.8167,15.2822,0.25196,9.2e-05,14,76,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Spinosyns,5000,90,21.2948,244.3235,0.009466,0.093307,36,516,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Diamides,500,30,0.0052,0.0442,2e-06,0.000259,3,7,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
