location_id,latitude,longitude,survey_start_date,survey_end_date,Route,RouteName,BCR,n_pur_5km,lbs_ai_5km
BBS_CA_054_ORANGE_COVE,36.6315997,-119.3047559,2015-05-28,2023-06-10,54,ORANGE COVE,32,25597,153347.0561275501
BBS_CA_021_HUGHSON,37.5947824,-120.860951,2015-05-28,2023-06-10,21,HUGHSON,32,18394,38801.49073887996
BBS_CA_092_ALAMO_RIVER,32.8471607,-115.4338989,2015-05-28,2023-06-10,92,ALAMO RIVER,33,18101,119413.54856148992
BBS_CA_127_SANGER,36.6992615,-119.5118359,2015-05-28,2023-06-10,127,SANGER,32,12087,63787.21377724003
BBS_CA_090_BLYTHE,33.6171807,-114.6230009,2015-05-28,2023-06-10,90,BLYTHE,33,9585,42725.49540687
BBS_CA_171_TRANQUILLITY,36.6541134,-120.2610649,2015-05-28,2023-06-10,171,TRANQUILLITY,32,8663,145075.3367470801
BBS_CA_150_BRAWLEY,32.9416587,-115.5356439,2015-05-28,2023-06-10,150,BRAWLEY,33,8360,107609.11483172997
BBS_CA_204_ATHLONE,37.1416897,-120.4009629,2015-05-28,2023-06-10,204,ATHLONE,32,7626,49050.87430875999
BBS_CA_147_ARVIN,35.2233697,-118.8782429,2015-05-28,2023-06-10,147,ARVIN,32,6684,76255.61553308993
BBS_CA_024_CARUTHERS,36.5471497,-119.8358759,2015-05-28,2023-06-10,24,CARUTHERS,32,6381,41494.489958809965
BBS_CA_320_COLLEGEVILLE_2,37.9333136,-121.1662987,2015-05-28,2023-06-10,320,COLLEGEVILLE 2,32,5897,56186.264644080016
BBS_CA_245_BUENA_VISTA,35.4779437,-119.2962109,2015-05-28,2023-06-10,245,BUENA VISTA,32,5863,54287.640559739964
BBS_CA_197_TIPTON,36.0799797,-119.3040849,2015-05-28,2023-06-10,197,TIPTON,32,4839,49148.25652194999
BBS_CA_049_PALO_VERDE,33.4048617,-114.7292329,2015-05-28,2023-06-10,49,PALO VERDE,33,4327,29418.774925890004
BBS_CA_155_WESTLEY,37.5141365,-121.1597352,2015-05-28,2023-06-10,155,WESTLEY,32,4126,25161.000896399983
BBS_CA_033_BAKERSFIELD,35.1800607,-119.1639019,2015-05-28,2023-06-10,33,BAKERSFIELD,32,4028,61443.06521591
BBS_CA_187_ZAMORA,38.7939347,-121.8400349,2015-05-28,2023-06-10,187,ZAMORA,32,3920,34459.24715971
BBS_CA_012_PENNINGTON,39.2754327,-121.7340849,2015-05-28,2023-06-10,12,PENNINGTON,32,3901,18558.007888050004
BBS_CA_149_ATWATER,37.2442817,-120.6701509,2015-05-28,2023-06-10,149,ATWATER,32,3118,30697.05875572001
BBS_CA_080_ORLAND,39.7633427,-122.2390059,2015-05-28,2023-06-10,80,ORLAND,32,2826,10593.687824070004
BBS_CA_026_OILFIELDS,36.3127167,-120.3048859,2015-05-28,2023-06-10,26,OILFIELDS,32,2727,29160.793516109992
BBS_CA_089_NILAND,33.2200507,-115.4847789,2015-05-28,2023-06-10,89,NILAND,33,2607,27839.119542619992
BBS_CA_055_LAKE_SUCCESS,36.0801334,-118.8985706,2015-05-28,2023-06-10,55,LAKE SUCCESS,32,2456,21535.14279544
BBS_CA_196_ORA_LOMA,36.8794687,-120.7850119,2015-05-28,2023-06-10,196,ORA LOMA,32,2432,41573.22991929
BBS_CA_125_MARICOPA,35.0586291,-119.3492988,2015-05-28,2023-06-10,125,MARICOPA,32,1654,34668.18644959999
BBS_CA_100_WISTER,33.285091,-115.579064,2015-05-28,2023-06-10,100,WISTER,33,1276,8405.094404239999
BBS_CA_252_Hollister_2,36.8242987,-121.2813,2015-05-28,2023-06-10,252,Hollister 2,32,1236,626.5702750799999
BBS_CA_302_GLEN_ELLEN_2,38.3796305,-122.5109615,2015-05-28,2023-06-10,302,GLEN ELLEN 2,32,976,125.77522558
BBS_CA_220_JOFEGAN,33.3068648,-117.342142,2015-05-28,2023-06-10,220,JOFEGAN,32,908,2461.197684870001
BBS_CA_148_GLENN,39.5508277,-122.0649918,2015-05-28,2023-06-10,148,GLENN,32,814,2008.83438252
BBS_CA_168_MACDOEL,41.8224004,-122.0111142,2015-05-28,2023-06-10,168,MACDOEL,9,684,7576.126569689999
BBS_CA_503_Tracy_2,37.665124,-121.73284,2015-05-28,2023-06-10,503,Tracy 2,32,651,2603.22172274
BBS_CA_352_STATEN_IS.,38.1231944,-121.525076,2015-05-28,2023-06-10,352,STATEN IS.,32,636,3433.9745913600004
BBS_CA_028_YOKOHL_VAL,36.2677648,-118.9924775,2015-05-28,2023-06-10,28,YOKOHL VAL,32,544,4714.044037830002
BBS_CA_420_PLACERVILLE,38.7995807,-120.7242129,2015-05-28,2023-06-10,420,PLACERVILLE,15,385,818.7622938600001
BBS_CA_166_DORRIS,41.9998861,-121.8916067,2015-05-28,2023-06-10,166,DORRIS,9,229,2367.1728327
BBS_CA_007_RED_BLUFF,40.3520163,-122.3059647,2015-05-28,2023-06-10,7,RED BLUFF,32,189,1537.9798677
BBS_CA_043_CADIZ,34.5108617,-115.4898379,2015-05-28,2023-06-10,43,CADIZ,33,189,934.09295989
BBS_CA_059_INYOKERN,35.6076917,-117.800197,2015-05-28,2023-06-10,59,INYOKERN,33,172,1156.1412881
BBS_CA_173_LOCKWOOD,35.9222607,-121.0644229,2015-05-28,2023-06-10,173,LOCKWOOD,32,169,1169.9830341200002
BBS_CA_123_ADELAIDA,35.6378262,-120.8547697,2015-05-28,2023-06-10,123,ADELAIDA,32,158,851.8057246999999
BBS_CA_901_GAZELLE,41.5209207,-122.5202179,2015-05-28,2023-06-10,901,GAZELLE,5,125,2326.7548894
BBS_CA_112_PEARBLOSSOM,34.5208799,-117.9406162,2015-05-28,2023-06-10,112,PEARBLOSSOM,33,118,35.5418384
BBS_CA_186_MARK_WEST,38.5498734,-122.719303,2015-05-28,2023-06-10,186,MARK WEST,32,108,145.09341339000002
