chemical_class,buffer_m,lag_window_days,lbs_ai,acres_treated,tox_units_avian,tox_units_aquatic,n_sections_intersected,n_applications,location_id,survey_start,survey_end,spatial_join
Pyrethroids,500,30,0.2385,6.6474,6e-05,1.037012,1,1,KERN_NWR_01,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,1000,30,1.9021,48.8191,0.000482,8.270124,2,3,KERN_NWR_01,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,2000,30,27.9483,565.8292,0.008979,151.376086,6,15,KERN_NWR_01,2023-05-15,2023-06-15,plss_spatial
Diamides,5000,30,4.5372,55.7636,0.002017,0.391134,1,1,KERN_NWR_01,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,5000,30,306.7017,2982.3364,0.152495,2507.514403,20,49,KERN_NWR_01,2023-05-15,2023-06-15,plss_spatial
Spinosyns,5000,30,0.8878,11.3591,0.000395,0.003894,1,3,KERN_NWR_01,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,500,60,0.2385,6.6474,6e-05,1.037012,1,1,KERN_NWR_01,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,1000,60,1.9021,48.8191,0.000482,8.270124,2,3,KERN_NWR_01,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,2000,60,27.9483,565.8292,0.008979,151.376086,6,15,KERN_NWR_01,2023-05-15,2023-06-15,plss_spatial
Diamides,5000,60,4.5372,55.7636,0.002017,0.391134,1,1,KERN_NWR_01,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,5000,60,359.5176,3420.5675,0.179058,2944.063603,22,62,KERN_NWR_01,2023-05-15,2023-06-15,plss_spatial
Spinosyns,5000,60,1.6814,22.6414,0.000747,0.007375,1,7,KERN_NWR_01,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,500,90,0.2385,6.6474,6e-05,1.037012,1,1,KERN_NWR_01,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,1000,90,1.9021,48.8191,0.000482,8.270124,2,3,KERN_NWR_01,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,2000,90,27.9483,565.8292,0.008979,151.376086,6,15,KERN_NWR_01,2023-05-15,2023-06-15,plss_spatial
Diamides,5000,90,4.5372,55.7636,0.002017,0.391134,1,1,KERN_NWR_01,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,5000,90,359.5213,3420.6375,0.17906,2944.096999,22,63,KERN_NWR_01,2023-05-15,2023-06-15,plss_spatial
Spinosyns,5000,90,1.6814,22.6414,0.000747,0.007375,1,7,KERN_NWR_01,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,500,30,3.7618,30.8309,0.002087,33.906936,3,5,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Restricted neonics,500,30,0.6217,1.2584,0.020054,7e-06,2,7,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Spinosyns,500,30,4.5698,72.9501,0.002031,0.020043,4,14,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,1000,30,13.2057,103.5787,0.007321,118.503427,3,5,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Restricted neonics,1000,30,17.4246,35.2255,0.562084,0.000205,2,7,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Spinosyns,1000,30,14.9502,234.1651,0.006645,0.065571,4,14,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,2000,30,45.3408,362.7903,0.025049,401.837229,8,12,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Restricted neonics,2000,30,115.5581,233.5007,3.727682,0.00136,3,12,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Spinosyns,2000,30,51.8948,796.6106,0.023064,0.227609,9,39,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Diamides,5000,30,6.0707,57.5943,0.002698,0.303534,1,2,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,5000,30,178.8292,2192.9243,0.087461,1387.625718,18,53,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Restricted neonics,5000,30,337.889,690.0307,10.899646,0.003975,5,21,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Spinosyns,5000,30,149.0376,2186.8977,0.06649,0.638396,15,56,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,500,60,3.7618,30.8309,0.002087,33.906936,3,5,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Restricted neonics,500,60,0.6217,1.2584,0.020054,7e-06,2,7,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Spinosyns,500,60,4.5698,72.9501,0.002031,0.020043,4,14,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,1000,60,13.2057,103.5787,0.007321,118.503427,3,5,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Restricted neonics,1000,60,17.4246,35.2255,0.562084,0.000205,2,7,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Spinosyns,1000,60,14.9502,234.1651,0.006645,0.065571,4,14,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,2000,60,45.3408,362.7903,0.025049,401.837229,8,12,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Restricted neonics,2000,60,115.5581,233.5007,3.727682,0.00136,3,12,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Spinosyns,2000,60,51.8948,796.6106,0.023064,0.227609,9,39,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Diamides,5000,60,6.0707,57.5943,0.002698,0.303534,1,2,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Next-gen systemics,5000,60,0.2889,1.8556,0.001245,4e-06,1,1,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,5000,60,178.8292,2192.9243,0.087461,1387.625718,18,53,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Restricted neonics,5000,60,337.9849,692.5049,10.902737,0.003976,5,22,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Spinosyns,5000,60,149.0376,2186.8977,0.06649,0.638396,15,56,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,500,90,3.7618,30.8309,0.002087,33.906936,3,5,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Restricted neonics,500,90,0.6217,1.2584,0.020054,7e-06,2,7,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Spinosyns,500,90,4.5698,72.9501,0.002031,0.020043,4,14,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,1000,90,13.2057,103.5787,0.007321,118.503427,3,5,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Restricted neonics,1000,90,17.4246,35.2255,0.562084,0.000205,2,7,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Spinosyns,1000,90,14.9502,234.1651,0.006645,0.065571,4,14,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,2000,90,45.3408,362.7903,0.025049,401.837229,8,12,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Restricted neonics,2000,90,115.5581,233.5007,3.727682,0.00136,3,12,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Spinosyns,2000,90,51.8948,796.6106,0.023064,0.227609,9,39,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Diamides,5000,90,6.0707,57.5943,0.002698,0.303534,1,2,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Next-gen systemics,5000,90,0.2889,1.8556,0.001245,4e-06,1,1,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Pyrethroids,5000,90,178.8502,2193.9243,0.087471,1387.698327,18,54,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Restricted neonics,5000,90,337.9849,692.5049,10.902737,0.003976,5,22,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Spinosyns,5000,90,149.0947,2187.3977,0.066518,0.638453,15,57,KERN_NWR_02,2023-05-15,2023-06-15,plss_spatial
Restricted neonics,500,30,0.9105,1.856,0.029373,1.1e-05,1,1,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Pyrethroids,1000,30,1.9969,13.2725,0.001066,17.472859,2,7,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Restricted neonics,1000,30,35.9232,73.2223,1.158814,0.000423,1,1,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Pyrethroids,2000,30,30.1951,208.4379,0.016016,262.587912,3,8,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Restricted neonics,2000,30,124.5596,253.89,4.018052,0.001465,1,1,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Diamides,5000,30,18.2871,297.8102,0.008128,1.576478,3,13,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Pyrethroids,5000,30,209.8502,2603.5451,0.095822,1582.078299,20,61,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Restricted neonics,5000,30,563.4553,1191.4553,18.175978,0.006629,4,11,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Spinosyns,5000,30,11.2823,106.48,0.005424,0.024513,3,5,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Restricted neonics,500,60,0.9105,1.856,0.029373,1.1e-05,1,1,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Pyrethroids,1000,60,2.0027,13.449,0.001067,17.498002,2,9,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Restricted neonics,1000,60,35.9232,73.2223,1.158814,0.000423,1,1,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Pyrethroids,2000,60,30.6291,221.6826,0.016125,264.474864,3,10,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Restricted neonics,2000,60,124.5596,253.89,4.018052,0.001465,1,1,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Diamides,5000,60,21.7794,336.1607,0.00968,1.818331,5,16,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Pyrethroids,5000,60,244.5615,3610.7515,0.107734,1742.7062,23,82,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Restricted neonics,5000,60,566.3439,1197.3314,18.26916,0.006663,5,12,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Spinosyns,5000,60,11.2823,106.48,0.005424,0.024513,3,5,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Restricted neonics,500,90,0.9105,1.856,0.029373,1.1e-05,1,1,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Pyrethroids,1000,90,2.0027,13.449,0.001067,17.498002,2,9,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Restricted neonics,1000,90,35.9232,73.2223,1.158814,0.000423,1,1,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Pyrethroids,2000,90,30.6291,221.6826,0.016125,264.474864,3,10,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Restricted neonics,2000,90,124.5596,253.89,4.018052,0.001465,1,1,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Diamides,5000,90,21.7794,336.1607,0.00968,1.818331,5,16,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Pyrethroids,5000,90,244.7754,3640.0515,0.107788,1743.636015,23,83,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Restricted neonics,5000,90,566.3439,1197.3314,18.26916,0.006663,5,12,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
Spinosyns,5000,90,11.2823,106.48,0.005424,0.024513,3,5,SJV_TEST_01,2023-06-01,2023-07-01,plss_spatial
