buffer_m,lag_d,pyr_beta,pyr_p,op_beta,op_p
500,30,0.012504992844458239,0.8377918617969786,0.031240720745234797,0.09043114528755852
500,60,0.07194245657502125,0.31286151247598637,0.017370845967282875,0.6794420234686289
500,90,0.06452828691407851,0.3434545783933415,-0.00017330683212116768,0.9976071599535888
1000,30,0.04035260476488855,0.48647052830683024,0.03378464048976239,0.13378789563046864
1000,60,0.09461962648784875,0.07303996142393598,0.016455614413347554,0.6431726910434936
1000,90,0.08724355907637714,0.08602618268291533,-0.0011033538058415713,0.983882728110966
2000,30,0.06466100924284661,0.021589054459552608,0.015727811720917168,0.6449409127746133
2000,60,0.10212220264725555,0.050964062243258834,-0.000736970587362178,0.98107688103993
2000,90,0.0956633408378808,0.0408616757014021,-0.028925295941912062,0.5633924422042178
5000,30,0.05268000391861236,0.15134998977793143,-0.006153689412791733,0.8979546069998259
5000,60,0.03902459846714065,0.38714995468915936,0.02330771544712949,0.47041545879673374
5000,90,0.053551840467419176,0.24778470644134076,-0.04422091422220067,0.49979108753020673
