chemname,class,avian_ld50_mg_per_kg,avian_ceiling,avian_test_species,avian_source_url,aquatic_lc50_ug_per_l,aquatic_ceiling,aquatic_test_species,aquatic_source_url,bee_contact_ld50_ug_per_bee,bee_contact_ceiling,bee_oral_ld50_ug_per_bee,bee_oral_ceiling,bee_source_url,chironomid_ec50_ug_per_l,chironomid_ceiling,chironomid_endpoint,chironomid_test_species,chironomid_source_url,avian_noec_repro_bwday,avian_noec_ceiling,avian_noec_test_species,avian_noec_source_url,notes
lambda-cyhalothrin,Pyrethroids,3950,TRUE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/415.htm,0.23,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/415.htm,0.038,0,0.91,0,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/415.htm,1.5,0,96h LC50,Chironomus riparius,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/415.htm,3.3,0,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/415.htm,avian ceiling >3950
gamma-cyhalothrin,Pyrethroids,2000,TRUE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/369.htm,0.045,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/369.htm,0.005,0,4.2,0,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/369.htm,0.047,0,28d NOEC,Chironomus riparius,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/369.htm,,0,,,avian ceiling >2000; aquatic ~5x more toxic than lambda-cyhalothrin (expected for pure active isomer)
bifenthrin,Pyrethroids,1800,FALSE,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/78.htm,0.11,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/78.htm,0.016,0,0.1,0,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/78.htm,0.32,0,28d NOEC,Chironomus riparius,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/78.htm,6.63,0,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/78.htm,
esfenvalerate,Pyrethroids,1312,FALSE,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/269.htm,0.27,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/269.htm,0.07,0,0.21,0,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/269.htm,0.13,0,96h LC50,Chironomus riparius,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/269.htm,18.7,0,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/269.htm,
permethrin,Pyrethroids,9800,TRUE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/515.htm,0.60,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/515.htm,0.024,0,0.13,0,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/515.htm,2.9,0,96h LC50,Chironomus riparius,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/515.htm,,0,,,avian ceiling >9800
cypermethrin,Pyrethroids,9520,TRUE,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/197.htm,0.21,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/197.htm,0.023,0,0.172,0,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/197.htm,1.8,1,96h LC50,Chironomus decorus,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/197.htm,4.29,0,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/197.htm,avian ceiling >9520
zeta-cypermethrin,Pyrethroids,5124,TRUE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/682.htm,0.14,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/682.htm,0.002,0,0.044,0,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/682.htm,1.0,0,96h LC50,Chironomus riparius,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/682.htm,2.15,0,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/682.htm,avian ceiling >5124
cyfluthrin,Pyrethroids,2000,TRUE,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/192.htm,0.16,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/192.htm,0.001,1,0.05,1,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/192.htm,,0,,,,,0,,,avian ceiling >2000
beta-cyfluthrin,Pyrethroids,2000,TRUE,Colinus virginianus (Northern Bobwhite),https://cfpub.epa.gov/ecotox/ (PMC3090753),0.29,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/74.htm,0.012,0,0.05,0,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/74.htm,0.45,0,96h LC50,Chironomus riparius,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/74.htm,2.6,0,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/74.htm,avian ceiling >2000; ECOTOX cross-check: PPDB reported canary (>170 mg/kg) from Dane et al. formulated-product study — non-guideline; ECOTOX confirms Bobwhite acute oral LD50 >2000 mg/kg consistent with cyfluthrin parent; Bobwhite value used; aquatic from PPDB (no ECOTOX discrepancy)
deltamethrin,Pyrethroids,2250,TRUE,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/205.htm,0.56,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/205.htm,0.0015,1,0.07,1,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/205.htm,39.0,0,24h LC50,Chironomus spp.,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/205.htm,55.0,1,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/205.htm,avian ceiling >2250
