chemical,class,avian_source,avian_url,aquatic_source,aquatic_url,flags
acephate,Organophosphates,PPDB #9,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/9.htm,PPDB #9,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/9.htm,Mallard surrogate (avian)
acetamiprid,Other neonics,PPDB #11,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/11.htm,PPDB #11,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/11.htm,Mallard surrogate (avian)
aldicarb,Carbamates,PPDB #19,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/19.htm,PPDB #19,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/19.htm,Mallard surrogate (avian)
azinphos-methyl,Organophosphates,PPDB #51,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/51.htm,PPDB #51,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/51.htm,
beta-cyfluthrin,Pyrethroids,ECOTOX (PMC3090753),https://cfpub.epa.gov/ecotox/,PPDB #74,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/74.htm,PPDB avian value non-guideline (formulated product; canary); ECOTOX Bobwhite >2000 mg/kg used
bifenthrin,Pyrethroids,PPDB #78,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/78.htm,PPDB #78,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/78.htm,
carbaryl,Carbamates,PPDB #115,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/115.htm,PMID 26549316,https://pubmed.ncbi.nlm.nih.gov/26549316/,Avian ceiling >2000 mg/kg (mallard); PPDB has no D. magna 48h EC50 — literature value used for aquatic
carbofuran,Carbamates,PPDB #118,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/118.htm,PPDB #118,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/118.htm,Mallard surrogate (avian)
chlorantraniliprole,Diamides,PPDB #1138,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1138.htm,PPDB #1138,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1138.htm,Avian ceiling >2250 mg/kg
chlorpyrifos,Organophosphates,PPDB #154,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/154.htm,PPDB #154,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/154.htm,
clothianidin,Restricted neonics,PPDB #171,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/171.htm,PPDB #171,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/171.htm,Aquatic ceiling >40000 ug/L
cyantraniliprole,Diamides,PPDB #1662,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1662.htm,PPDB #1662,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1662.htm,Avian ceiling >2250 mg/kg; aquatic ceiling >20 ug/L
cyfluthrin,Pyrethroids,PPDB #192,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/192.htm,PPDB #192,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/192.htm,Avian ceiling >2000 mg/kg
cypermethrin,Pyrethroids,PPDB #197,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/197.htm,PPDB #197,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/197.htm,Avian ceiling >9520 mg/kg
